mlbId,title,status,reviewStatus,imageStatus,condition,quantity,price,category,familyId,blockingIssues,permalink
"MLB4669476077","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","published","approved","verified","novo","1","298","Fontes e Alimentação","hi-link-hlk-pm01","","https://produto.mercadolivre.com.br/MLB-4669476077-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM"
"MLB5265377782","Conector Split Bolt 16mm² Intelli Cobre Eletrolítico Alta Condutibilidade","published","approved","verified","novo","1","199.8","Conectores e Instalação","split-bolt","","https://produto.mercadolivre.com.br/MLB-5265377782-conector-split-bolt-16mm-intelli-cobre-eletrolitico-alta-condutibilidade-_JM"
"MLB3963960643","10x Módulo GPS Ublox Gy-gps6mv2 para Arduino, Drone e Esp","published","approved","verified","novo","10","360.9","GPS e Localização","gps-neo-6m","","https://produto.mercadolivre.com.br/MLB-3963960643-10x-modulo-gps-ublox-gy-gps6mv2-para-arduino-drone-e-esp-_JM"
"MLB3957971855","Kit com 100 Prensa Cabos Pg9 Cinza - Vedação Ip68","published","approved","verified","novo","100","78.9","Conectores e Instalação","","","https://produto.mercadolivre.com.br/MLB-3957971855-kit-com-100-prensa-cabos-pg9-cinza-vedaco-ip68-_JM"
"MLB4832454317","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","published","approved","verified","novo","1","98","Fontes e Alimentação","hi-link-hlk-pm01","","https://produto.mercadolivre.com.br/MLB-4832454317-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM"
"MLB6747663478","Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","published","approved","verified","novo","1","255","Fontes e Alimentação","hi-link-hlk-pm01","","https://produto.mercadolivre.com.br/MLB-6747663478-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM"
"MLB7070502622","Módulo de Comunicação Ttgo T-call, SIM800L Lilygo (aberto)","pending-review","blocked","verified","usado","1","98.2","IoT, GSM e Comunicação","ttgo-t-call","especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-7070502622-modulo-de-comunicaco-ttgo-t-call-sim800l-lilygo-aberto-_JM"
"MLB4669463945","Kit 10un Mini fonte Hi-link HLK-PM01 110-220vac - 5vdc","published","approved","verified","novo","10","255","Fontes e Alimentação","hi-link-hlk-pm01","","https://produto.mercadolivre.com.br/MLB-4669463945-kit-10un-mini-fonte-hi-link-hlk-pm01-110-220vac-5vdc-_JM"
"MLB7070500932","Placa de Comunicação Lilygo com ESP32 Ttgo T-call SIM800L","pending-review","blocked","verified","novo","1","151.9","IoT, GSM e Comunicação","ttgo-t-call","especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-7070500932-placa-de-comunicaco-lilygo-com-esp32-ttgo-t-call-sim800l-_JM"
"MLB4669465391","Kit C/3 Sensor de Corrente AC Não Invasivosct-013 100 A 50 mA","pending-review","blocked","verified","novo","1","138.3","Sensores e Medição","sensores-de-corrente","quantidade divergente: cadastro=1, texto=4","https://produto.mercadolivre.com.br/MLB-4669465391-kit-c3-sensor-de-corrente-ac-no-invasivosct-013-100a-50ma-_JM"
"MLB4669465397","Sensor de Corrente AC Não Invasivo AC SCT-013 100 A 50 mA","published","approved","verified","novo","1","138.3","Sensores e Medição","sensores-de-corrente","","https://produto.mercadolivre.com.br/MLB-4669465397-sensor-de-corrente-ac-no-invasivo-ac-sct-013-100a-50ma-_JM"
"MLB4051929221","Kit 20x Módulos ESP32 Ttgo T-call SIM800L + Antena","pending-review","blocked","verified","novo","20","1980","IoT, GSM e Comunicação","ttgo-t-call","especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-4051929221-kit-20x-modulos-esp32-ttgo-t-call-sim800l-antena-_JM"
"MLB5272698878","Contator Tripolar 4011 40 A 220 V 3p com Contatos Auxiliares","published","approved","verified","novo","1","75.9","Automação e Comando","contatores","","https://produto.mercadolivre.com.br/MLB-5272698878-contator-tripolar-4011-40a-220v-3p-com-contatos-auxiliares-_JM"
"MLB4832394051","Kit 5 Mini fonte Chaveada Hi-link HLK-PM01 5 V / 3 W","published","approved","verified","novo","5","98","Fontes e Alimentação","hi-link-hlk-pm01","","https://produto.mercadolivre.com.br/MLB-4832394051-kit-5-mini-fonte-chaveada-hi-link-hlk-pm01-5v-3w-_JM"
"MLB5272829812","Módulo GPS Ublox Casa da Robótica Gy-gps6mv2 Antena Cerâmica Arduino","published","approved","verified","novo","1","360.9","GPS e Localização","gps-neo-6m","","https://produto.mercadolivre.com.br/MLB-5272829812-modulo-gps-ublox-casa-da-robotica-gy-gps6mv2-antena-cermica-arduino-_JM"
"MLB5272894966","Kit 200 Barra de Pinos - Fêmea - 1x15 - 2,54 mm - Pic/arduino Preto","published","approved","verified","novo","200","209","Componentes Eletrônicos","","","https://produto.mercadolivre.com.br/MLB-5272894966-kit-200-barra-de-pinos-fmea-1x15-254mm-picarduino-preto-_JM"
"MLB7143332292","Kit 3x Módulo GPS NEO-6M V2 com Antena Arduino ESP32 Esp8266","published","approved","verified","novo","3","98.2","GPS e Localização","gps-neo-6m","","https://produto.mercadolivre.com.br/MLB-7143332292-kit-3x-modulo-gps-neo-6m-v2-com-antena-arduino-esp32-esp8266-_JM"
"MLB4875918503","Módulo GPS NEO-6M V2 com Antena Compatível Arduino ESP32 Esp8266 Raspberry Pi Rastreamento Navegação Telemetria Drone Robótica Geolocalização Projetos Blutu","published","approved","verified","novo","1","98.2","GPS e Localização","gps-neo-6m","","https://produto.mercadolivre.com.br/MLB-4875918503-modulo-gps-neo-6m-v2-com-antena-compativel-arduino-esp32-esp8266-raspberry-pi-rastreamento-navegaco-telemetria-drone-robotica-geolocalizaco-projetos-blutu-_JM"
"MLB7141642274","Bateria para Notebook Acer Aspire Ap18c8k 4471 Mah Original Preto","pending-review","blocked","pending-review","usado","1","192","Automação e Comando","","imagem real do anúncio exato não verificada; condição divergente entre cadastro, título ou descrição; especificações suspeitas exigem revisão","https://produto.mercadolivre.com.br/MLB-7141642274-bateria-para-notebook-acer-aspire-ap18c8k-4471-mah-original-preto-_JM"
