mlbId,title,format,distPath,exists,width,height,issue
"MLB3939451361","Módulo de Comunicação Ttgo T-call, SIM800L Lilygo","webp","dist/products/MLB3939451361/optimized/main.webp","yes","500","466",""
"MLB3939451361","Módulo de Comunicação Ttgo T-call, SIM800L Lilygo","jpg","dist/products/MLB3939451361/optimized/main.jpg","yes","500","466",""
"MLB5268502876","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda de Cabos","avif","dist/products/MLB5268502876/optimized/main.avif","yes","500","435",""
"MLB5268502876","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda de Cabos","webp","dist/products/MLB5268502876/optimized/main.webp","yes","500","435",""
"MLB5268502876","Kit 15 Conectores Split Bolt 16mm Fendido P/emenda de Cabos","jpg","dist/products/MLB5268502876/optimized/main.jpg","yes","500","435",""
"MLB4669503045","Sensor de Corrente AC Não Invasivo SCT-013 100 A 50 mA","avif","dist/products/MLB4669503045/optimized/main.avif","yes","500","438",""
"MLB4669503045","Sensor de Corrente AC Não Invasivo SCT-013 100 A 50 mA","webp","dist/products/MLB4669503045/optimized/main.webp","yes","500","438",""
"MLB4669503045","Sensor de Corrente AC Não Invasivo SCT-013 100 A 50 mA","jpg","dist/products/MLB4669503045/optimized/main.jpg","yes","500","438",""
"MLB4669565379","3x Filtro Supressor de Ruídos Eicos K-8 para Contatores 220 V","avif","dist/products/MLB4669565379/optimized/main.avif","yes","500","500",""
"MLB4669565379","3x Filtro Supressor de Ruídos Eicos K-8 para Contatores 220 V","webp","dist/products/MLB4669565379/optimized/main.webp","yes","500","500",""
"MLB4669565379","3x Filtro Supressor de Ruídos Eicos K-8 para Contatores 220 V","jpg","dist/products/MLB4669565379/optimized/main.jpg","yes","500","500",""
"MLB3963960643","10x Módulo GPS Ublox Gy-gps6mv2 para Arduino, Drone e Esp","avif","dist/products/MLB3963960643/optimized/main.avif","yes","500","466",""
"MLB3963960643","10x Módulo GPS Ublox Gy-gps6mv2 para Arduino, Drone e Esp","webp","dist/products/MLB3963960643/optimized/main.webp","yes","500","466",""
"MLB3963960643","10x Módulo GPS Ublox Gy-gps6mv2 para Arduino, Drone e Esp","jpg","dist/products/MLB3963960643/optimized/main.jpg","yes","500","466",""
"MLB4669478861","40x Chave Micro Switch Kw1-103 15 A 125vac / 16 A 250vac Preto","avif","dist/products/MLB4669478861/optimized/main.avif","yes","490","500",""
"MLB4669478861","40x Chave Micro Switch Kw1-103 15 A 125vac / 16 A 250vac Preto","webp","dist/products/MLB4669478861/optimized/main.webp","yes","490","500",""
"MLB4669478861","40x Chave Micro Switch Kw1-103 15 A 125vac / 16 A 250vac Preto","jpg","dist/products/MLB4669478861/optimized/main.jpg","yes","490","500",""
"MLB3948176139","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","avif","dist/products/MLB3948176139/optimized/main.avif","yes","500","435",""
"MLB3948176139","Kit 50 Conectores Fendido 16mm Split Bolt Cobre","webp","dist/products/MLB3948176139/optimized/main.webp","yes","500","435",""
